Super_Built_up_Area,Area,Carpet_Area,Floor_Number,Parking,Furnishing,Location,Bathrooms,Bedrooms,Balconies,Price
877,,650,13,1,2,Borivali West,2,2,0,170
,,935,9,1,,Borivali West,3,3,1,248
,,625,7,1,,Borivali West,2,2,0,165
,,580,3,1,1,Borivali West,2,2,1,180
1180,860,640,1,1,,Borivali West,2,2,0,165
,,600,1,1,,Borivali West,2,2,0,160
,,715,5,1,0,Borivali West,2,2,0,145
515,,355,3,1,0,Borivali West,1,1,0,90
,,700,2,1,1,Borivali West,2,2,0,135
,,620,12,1,,Borivali West,2,2,1,182
500,,420,2,1,2,Borivali West,2,1,0,115
,,576,8,1,,Borivali West,2,2,0,138
,,680,17,1,,Borivali West,2,2,1,180
,,660,11,1,,Borivali West,2,2,1,178
,,870,2,1,,Borivali West,3,3,1,215
,,1184,5,3,,Borivali West,3,3,2,380
,,1050,10,1,1,Borivali West,3,3,1,220
,,360,2,1,2,Borivali West,1,1,0,75
,,586,6,1,2,Borivali West,2,2,0,140
,550,435,3,1,,Borivali West,1,1,0,97
,,445,3,1,2,Borivali West,1,1,0,95
,,416,5,3,,Borivali West,2,1,0,115
,,680,1,1,,Borivali West,2,3,1,195
,,747,16,1,,Borivali West,2,3,1,185
,,600,5,1,,Borivali West,2,2,0,145
,,902,8,1,,Borivali West,3,3,1,252
,,452,3,1,,Borivali West,2,1,0,106
650,575,,4,1,1,Borivali West,2,1,1,97.6
472,,325,,1,1,Borivali West,1,1,0,90
,,1184,5,3,,Borivali West,3,3,1,385
,1100,,4,,1,Borivali West,2,2,0,165
,,820,19,1,,Borivali West,2,3,0,230
,2200,1900,18,1,0,Borivali West,4,4,1,375
,,425,3,1,,Borivali West,1,1,0,100
,,491,7,1,,Borivali West,2,1,0,115
1050,,600,5,1,,Borivali West,2,2,0,160
,,,2,,2,Borivali West,2,2,3,110
,,380,10,1,1,Borivali West,1,1,0,85
2100,,1600,7,2,1,Borivali West,4,4,2,435
,,600,10,1,,Borivali West,2,2,0,175
1390,,850,9,1,,Borivali West,2,3,3,226
850,740,600,5,1,,Borivali West,2,2,1,170
,,704,6,1,,Borivali West,2,2,0,165
945,,650,11,1,,Borivali West,2,2,1,220
,,700,10,1,0,Borivali West,2,2,0,195
1450,,740,16,1,,Borivali West,2,2,2,237
850,780,620,6,1,,Borivali West,2,2,0,145
2425,2131,1470,18,1,1,Borivali West,4,5,0,361
1005,,805,1,1,0,Borivali West,2,2,0,195
650,,425,19,1,2,Borivali West,1,1,0,135
999,,689,2,1,2,Borivali West,2,2,0,203
998,,688,3,1,2,Borivali West,2,2,0,203
1000,,,10,1,,Borivali West,2,2,0,200
,,430,4,1,2,Borivali West,1,1,0,93
,,980,13,1,0,Borivali West,3,3,1,300
1050,,,10,1,2,Borivali West,2,2,2,185
,,420,2,1,2,Borivali West,1,1,0,110
,,605,4,1,,Borivali West,2,2,0,142
,,390,10,1,1,Borivali West,1,1,1,81
,,445,13,1,2,Borivali West,2,1,0,110
900,,650,5,1,1,Borivali West,2,2,0,145
,,450,16,1,,Borivali West,2,1,1,115
1209,,834,10,2,2,Borivali West,3,3,0,275
2800,,1800,14,1,2,Borivali West,3,4,2,430
,,680,3,1,,Borivali West,2,2,0,170
,,680,1,1,,Borivali West,2,2,0,170
,,515,1,1,,Borivali West,2,2,0,115
1427,,984,9,1,2,Borivali West,3,3,0,275
1428,,985,5,1,2,Borivali West,3,3,0,275
800,750,650,3,1,,Borivali West,2,2,2,140
,,600,7,1,,Borivali West,2,2,0,165
850,780,660,4,1,2,Borivali West,2,2,0,160
600,,420,5,1,,Borivali West,2,1,0,93
,,666,11,1,,Borivali West,2,2,0,170
,,747,16,1,,Borivali West,2,3,1,195
,,767,16,1,,Borivali West,2,2,1,195
,,425,6,1,,Borivali West,2,1,0,100
525,,395,1,1,2,Borivali West,1,1,0,135
,,1250,1,1,,Borivali West,3,3,2,248
,,698,9,1,1,Borivali West,2,2,1,199
,,1000,4,1,0,Borivali West,3,3,1,325
630,,430,4,1,1,Borivali West,1,1,0,85
,,450,3,1,,Borivali West,2,1,1,105
1355,,935,7,1,2,Borivali West,3,3,0,264
,620,440,6,1,,Borivali West,2,1,1,100
1090,950,700,4,1,,Borivali West,2,2,0,135
,,700,6,1,1,Borivali West,2,2,0,160
,,450,3,1,,Borivali West,1,1,0,85
720,,575,2,1,1,Borivali West,2,2,0,160
,,680,12,1,,Borivali West,2,2,0,170
2346,2061,1422,21,1,1,Borivali West,4,4,0,304
,,650,5,1,1,Borivali West,2,2,0,155
,,825,,2,0,Borivali West,2,2,0,220
,950,660,5,1,,Borivali West,2,2,0,150
970,730,575,6,1,,Borivali West,2,2,0,145
,,875,7,1,1,Borivali West,2,2,1,245
,,465,4,1,1,Borivali West,1,1,0,170
,,660,3,1,1,Borivali West,2,2,1,185
,,640,6,1,,Borivali West,2,2,3,150
1063,,733,7,1,1,Borivali West,2,2,0,191
1125,,667,7,1,2,Borivali West,2,2,0,225
1183,,815,19,1,2,Borivali West,3,3,0,255
1050,,600,5,1,1,Borivali West,2,2,0,160
,,600,1,1,,Borivali West,2,2,0,140
,,570,6,1,,Borivali West,2,2,0,164
,500,325,2,1,,Borivali West,1,1,0,65
,,600,5,1,,Borivali West,2,2,0,160
,,475,5,1,,Borivali West,1,1,0,110
635,,435,7,1,1,Borivali West,1,1,0,106
650,,,8,1,,Borivali West,2,1,1,93
,1050,751,10,1,0,Borivali West,2,2,1,250
,,650,4,1,,Borivali West,2,2,0,195
650,575,450,2,1,1,Borivali West,2,1,1,97
,,640,6,1,2,Borivali West,1,2,0,145
,,600,3,1,,Borivali West,2,2,0,135
,,1000,6,1,,Borivali West,3,3,0,260
,,410,3,1,1,Borivali West,1,1,0,115
560,410,335,,1,,Borivali West,1,1,0,90
540,450,385,3,1,,Borivali West,2,1,0,87
,,865,7,1,,Borivali West,3,3,2,178
390,,297,1,1,1,Borivali West,1,1,0,57
500,,380,2,1,1,Borivali West,1,1,0,85
,,650,6,1,,Borivali West,1,2,0,142
900,,600,6,2,,Borivali West,2,2,0,160
,,950,8,2,,Borivali West,3,3,3,243
,,397,10,1,,Borivali West,1,1,0,111
,,388,5,1,,Borivali West,1,1,0,109
,,400,1,1,1,Borivali West,1,1,0,120
,,734,6,1,,Borivali West,2,2,0,191
1000,,,3,1,2,Borivali West,2,2,0,145
,,588,9,2,1,Borivali West,2,2,0,138
,,830,15,1,0,Borivali West,3,3,0,245
,,680,5,1,,Borivali West,2,2,0,200
,700,653,10,1,2,Borivali West,2,2,0,179
,,1000,9,1,,Borivali West,3,3,2,280
,,415,1,1,2,Borivali West,1,1,0,105
,,662,12,1,,Borivali West,2,2,0,200
1100,,615,10,1,2,Borivali West,2,2,2,153
550,,415,,1,,Borivali West,1,1,0,85
1200,1100,,3,1,2,Borivali West,2,2,1,139
1000,850,750,4,,0,Borivali West,2,2,2,125
550,395,340,4,1,,Borivali West,1,1,1,62
640,,420,3,20,0,Borivali West,2,1,0,85
,,700,8,1,,Borivali West,2,2,3,195
580,377,321,4,,1,Borivali West,1,1,0,70
,1150,,6,1,0,Borivali West,2,2,1,160
400,350,280,1,,0,Borivali West,1,1,0,68
550,,,4,,0,Borivali West,1,1,0,90
,61,,3,1,,Borivali West,2,2,0,140
1000,780,565,12,1,2,Borivali West,2,2,3,121
1000,,,2,,1,Borivali West,2,2,0,125
1200,1000,750,4,1,,Borivali West,3,2,1,160
,565,,3,,2,Borivali West,1,1,0,71
,585,450,3,,0,Borivali West,1,1,0,98
560,480,,7,,1,Borivali West,1,1,0,120
,488,,4,,0,Borivali West,1,1,1,87
480,,,,,0,Borivali West,1,1,0,95
,510,430,,1,1,Borivali West,1,1,0,90
861,,,3,1,,Borivali West,2,2,0,140
1080,915,756,5,1,0,Borivali West,2,2,0,198
,468,325,,,,Borivali West,1,1,0,90
900,775,695,5,1,0,Borivali West,2,2,0,185
1064,950,645,1,1,2,Borivali West,2,2,0,140
,500,,3,,,Borivali West,1,1,0,85
601,,412,17,1,1,Borivali West,1,1,0,105
1260,,,14,1,0,Borivali West,3,3,3,255
,1120,,7,1,,Borivali West,2,2,2,195
620,560,370,1,,,Borivali West,2,1,0,90
,1080,,,1,,Borivali West,3,3,0,190
810,,,8,1,0,Borivali West,2,2,0,150
1500,1250,1050,6,1,0,Borivali West,3,3,1,290
820,720,620,3,,0,Borivali West,2,2,0,175
1700,,1550,3,1,0,Borivali West,3,3,3,370
,500,450,,,0,Borivali West,2,1,1,115
,325,300,3,1,0,Borivali West,1,1,0,70
,687,,2,,,Borivali West,2,1,0,130
742,689,530,5,1,,Borivali West,2,2,0,144
,310,,1,,,Borivali West,1,1,0,70
,540,,6,,2,Borivali West,1,1,0,120
,800,,3,1,,Borivali West,2,2,0,185
,,735,5,1,1,Borivali West,2,2,0,200
,720,600,2,1,1,Borivali West,2,2,0,160
800,,650,3,1,,Borivali West,2,2,0,190
1250,1150,780,2,1,,Borivali West,4,3,3,180
,,380,4,1,,Borivali West,1,1,0,110
,1400,,9,1,0,Borivali West,3,3,3,360
,,465,6,,0,Borivali West,2,1,0,115
1560,,,7,1,,Borivali West,3,3,0,265
1060,980,670,10,1,1,Borivali West,2,2,0,160
,,715,4,,0,Borivali West,2,2,0,220
1665,1450,1150,5,,2,Borivali West,3,3,0,253
405,400,305,18,,,Borivali West,1,1,0,50
540,,420,3,,,Borivali West,1,1,0,100
,1250,,10,,,Borivali West,2,2,0,260
,,640,5,2,,Borivali West,2,2,1,165
,550,,11,1,0,Borivali West,2,2,2,170
,,570,3,1,,Borivali West,2,2,0,225
265,,235,3,,1,Borivali West,2,1,2,70
,400,,15,1,2,Borivali West,2,1,1,105
,850,730,3,1,1,Borivali West,2,2,0,175
1500,,950,6,1,,Borivali West,3,3,0,355
,,1300,7,1,,Borivali West,3,3,0,421
750,607,435,7,1,,Borivali West,1,1,1,89
750,607,435,7,1,,Borivali West,1,1,1,89
595,550,400,7,1,0,Borivali West,1,1,0,106
,550,410,2,,0,Borivali West,1,1,0,105
950,900,565,12,,,Borivali West,1,2,3,120
810,,600,5,,,Borivali West,2,2,0,155
,,305,12,,,Borivali West,1,1,0,50
,,796,15,1,,Borivali West,2,2,3,235
,385,,3,,0,Borivali West,1,1,2,89
,,400,3,,,Borivali West,1,1,0,90
,,1200,4,,,Borivali West,3,3,0,268
,585,421,3,,1,Borivali West,1,1,0,98
,850,,,1,,Borivali West,2,2,0,110
,1050,640,5,1,,Borivali West,2,2,3,150
,,340,5,1,0,Borivali West,2,1,0,75
,,654,4,,,Borivali West,1,2,0,115
,600,475,7,,,Borivali West,2,1,0,76.5
1150,1050,647,1,2,,Borivali West,2,2,0,160
660,550,,4,,2,Borivali West,1,1,0,90
,550,,1,1,,Borivali West,1,1,0,135
,2300,2100,3,2,0,Borivali West,3,6,1,130
550,467,,4,,0,Borivali West,1,1,0,110
800,750,740,,,,Borivali West,3,2,1,112
,1000,550,2,1,,Borivali West,2,2,0,175
,350,,7,,,Borivali West,1,1,1,58
960,,,3,1,0,Borivali West,2,2,1,174
530,528,415,,1,,Borivali West,1,1,0,110
,1000,,3,1,,Borivali West,2,2,0,160
,,423.77,2,,,Borivali West,2,1,2,120
630,,,6,,,Borivali West,1,1,0,100
937,,,5,1,,Borivali West,2,2,0,124
,510,,1,,,Borivali West,1,1,1,80
586,,451,2,1,0,Borivali West,1,2,0,105
,,310,3,1,,Borivali West,1,1,1,60
,,725,4,1,,Borivali West,1,2,0,170
875,,,6,,0,Borivali West,2,2,0,155
,1200,1000,1,6,0,Borivali West,2,2,2,250
850,750,565,12,1,,Borivali West,2,2,3,113
,,680,2,,,Borivali West,2,2,1,190
750,700,625,4,,,Borivali West,1,1,2,145
,,700,2,,0,Borivali West,2,2,1,190
,600,550,7,,0,Borivali West,1,1,3,78
470,,,7,1,1,Borivali West,1,1,0,75
,,300,2,,,Borivali West,1,1,1,72
,,365,2,1,,Borivali West,2,1,0,95
,,3000,,2,,Borivali West,3,3,1,400
607,515,430,4,,,Borivali West,1,1,0,80
710,,450,7,1,1,Borivali West,1,1,2,125
,,415,3,1,0,Borivali West,1,1,0,75
,,368,4,1,0,Borivali West,1,1,0,69
405,400,305,18,,,Borivali West,1,1,0,50
700,,,1,,2,Borivali West,2,2,0,110
875,650,600,3,1,1,Borivali West,2,2,0,151
1050,,,5,,2,Borivali West,2,2,0,160
,700,452,5,,2,Borivali West,2,1,3,115
1300,1150,900,2,1,,Borivali West,2,2,1,230
300,,196,5,1,,Borivali West,1,1,0,57.01
1035,985,675,,,1,Borivali West,4,2,2,126
715,600,535,6,1,,Borivali West,2,2,3,106
,,1100,4,1,,Borivali West,3,3,0,285
630,,,6,,,Borivali West,1,1,1,105
,880,680,4,1,2,Borivali West,2,2,3,138
,864,,5,1,,Borivali West,2,2,3,145
,150,,,1,,Borivali West,1,1,0,50
,400,,,,,Borivali West,1,1,0,85
540,,,1,,1,Borivali West,1,1,0,75
,1350,,2,,0,Borivali West,4,4,3,198
1600,,,4,1,1,Borivali West,3,3,3,240
650,600,450,3,,,Borivali West,1,1,1,75
,520,,,1,,Borivali West,2,1,0,100
1267,,,19,1,,Borivali West,2,2,1,280
,,1212,8,2,0,Borivali West,3,3,0,375
,500,400,,1,,Borivali West,2,1,0,79
,1100,,12,,,Borivali West,2,2,0,130
,,504,1,,,Borivali West,1,1,3,125
841,732,586,2,,1,Borivali West,1,2,0,120
,717,,2,,,Borivali West,2,2,0,95
900,,,21,2,1,Borivali West,2,2,1,200
,820,650,1,1,1,Borivali West,1,2,0,129
,774,645,2,1,1,Borivali West,2,2,1,165
,1665,,2,2,,Borivali West,3,3,1,265
,,390,6,1,,Borivali West,1,1,2,80
,,,1,,2,Borivali West,2,3,0,200
1523,,1050,6,1,2,Borivali West,3,3,0,305
540,,,7,,,Borivali West,1,1,0,75
,610,435,7,1,,Borivali West,1,1,0,88
,1060,720,7,1,,Borivali West,2,2,0,185
,650,600,3,1,2,Borivali West,2,1,0,38
,,733,7,1,,Borivali West,2,2,0,191
,850,,2,1,,Borivali West,2,2,0,155
,,430,4,,,Borivali West,1,1,0,85
1100,860,740,5,1,0,Borivali West,2,2,3,200
650,550,440,6,1,0,Borivali West,1,1,0,111
,590,510,2,,1,Borivali West,1,2,0,125
,,634,14,1,,Borivali West,2,2,0,171
600,500,400,4,2,1,Borivali West,1,1,0,95
938,,,5,2,2,Borivali West,2,2,0,124
1155,993,700,7,1,0,Borivali West,3,3,0,185
,1054,850,19,,0,Borivali West,2,2,0,255
650,600,425,7,1,,Borivali West,2,1,1,99
,2295,1431,7,1,2,Borivali West,3,3,3,510
650,500,,,1,,Borivali West,2,1,0,91
,,1350,5,2,,Borivali West,4,4,2,405
1000,,716,3,1,1,Borivali West,2,3,0,137
1000,,800,3,,0,Borivali West,2,2,0,180
,500,,1,1,0,Borivali West,1,1,0,100
655,,,3,1,1,Borivali West,2,1,0,84.5
1150,1050,650,1,1,2,Borivali West,2,2,3,205
1150,900,,5,1,2,Borivali West,3,3,0,200
,27,25,2,1,1,Borivali West,3,3,1,63
600,550,420,4,1,1,Borivali West,2,1,0,80
675,,470,1,1,1,Borivali West,1,1,0,85
1665,,1120,10,1,1,Borivali West,3,3,3,310
1200,,825,8,1,2,Borivali West,2,2,2,215
,515,360,4,1,0,Borivali West,1,1,0,68
640,600,450,3,1,2,Borivali West,1,1,0,80
540,,,2,,2,Borivali West,1,1,0,83
450,350,225,4,1,2,Borivali West,1,1,0,60
600,,470,4,,0,Borivali West,1,1,1,125
769,,530,4,1,1,Borivali West,1,1,0,80
,1250,850,1,2,1,Borivali West,2,2,0,160
1100,,,2,2,2,Borivali West,2,2,3,149
675,,,5,1,1,Borivali West,1,1,0,83.5
,400,350,,1,,Borivali West,1,1,0,38
,728,,1,1,,Borivali West,1,1,0,97
595,510,400,1,1,2,Borivali West,1,1,0,80
1075,,,21,1,,Borivali West,2,2,0,135
1150,,736,3,1,,Borivali West,2,2,2,125
635,495,400,9,1,1,Borivali West,2,1,2,82
,870,,7,,,Borivali West,2,2,,135
1255,,,17,1,,Borivali West,2,0,2,135
450,,360,2,1,2,Borivali West,1,0,1,62
,,450,2,1,,Borivali West,1,0,1,74
,750,575,2,,0,Borivali West,2,0,2,160
780,,510,2,1,1,Borivali West,2,0,2,125
,,415,2,1,,Borivali West,1,0,1,92
,,650,4,1,2,Borivali West,2,0,2,160
819,,565,12,1,1,Borivali West,2,0,2,120
,,355,3,,0,Borivali West,1,1,1,90
800,,450,6,1,,Borivali West,1,0,1,93
510,,,4,1,2,Borivali West,1,0,1,78
1180,1000,680,4,1,2,Borivali West,2,3,2,138
616,,425,3,1,1,Borivali West,1,0,1,86
,,415,1,1,,Borivali West,1,0,1,90
490,400,370,,1,1,Borivali West,1,0,1,85
700,600,,4,1,,Borivali West,1,0,1,110
700,,504,1,1,0,Borivali West,1,0,1,125
445,,,3,1,,Borivali West,1,0,1,85
,,1000,,1,2,Borivali West,1,1,1,850
,,640,1,1,,Borivali West,1,1,1,130
225,,,1,1,,Borivali West,1,0,1,16
,,504,1,1,1,Borivali West,1,1,2,110
845,,,4,1,,Borivali West,2,0,2,175
1100,920,750,3,1,,Borivali West,2,3,2,160
580,,400,,1,2,Borivali West,1,0,1,83
841,,580,,1,1,Borivali West,2,0,2,150
635,500,400,8,1,2,Borivali West,1,2,2,84
618,520,422,3,1,1,Borivali West,1,2,2,95
,,1060,9,1,1,Borivali West,3,3,3,280
1060,,668,5,1,2,Borivali West,2,0,2,145
650,,400,2,1,1,Borivali West,1,0,1,95
450,400,300,6,1,2,Borivali West,1,2,1,60
406,,300,6,1,2,Borivali West,1,2,1,60.11
635,,410,9,1,0,Borivali West,1,1,2,82
,,750,2,1,2,Borivali West,2,0,2,110
363,,250,3,,2,Borivali West,1,0,1,67
624,,430,3,1,1,Borivali West,2,0,2,105
1000,,,5,1,,Borivali West,2,3,2,155
,,640,1,1,0,Borivali West,2,0,2,165
,,340,1,3,,Borivali West,1,1,1,60
1209,1062,733,7,1,0,Borivali West,3,0,3,191
942,865,596,7,1,0,Borivali West,2,1,2,154
683,,470,4,1,1,Borivali West,1,0,1,125
,,516,1,1,,Borivali West,2,0,2,126
1447,1052,877,3,2,2,Borivali West,3,0,3,200
,,420,4,1,,Borivali West,1,0,2,100
555,,,21,1,,Borivali West,1,0,1,100
520,400,350,5,1,2,Borivali West,1,0,1,75
1359,,937,3,1,0,Borivali West,3,0,3,199
635,,400,9,,1,Borivali West,1,1,2,82
,,480,6,1,,Borivali West,1,2,2,105
1300,,,9,1,2,Borivali West,2,1,2,210
1100,,700,12,1,0,Borivali West,2,0,2,180
,,620,4,1,,Borivali West,2,2,2,140
1500,,1000,11,1,0,Borivali West,3,0,3,240
1109,910,765,11,1,0,Borivali West,2,0,2,175
900,,750,5,1,1,Borivali West,3,0,2,190
900,,,15,2,,Borivali West,2,0,2,190
765,,568,5,1,,Borivali West,2,0,2,160
,,556,1,,0,Borivali West,2,0,1,135
1159,1019,703,16,1,1,Borivali West,2,0,2,150
1300,1100,900,10,1,2,Borivali West,2,1,2,220
,,1300,5,2,,Borivali West,3,0,3,400
950,,510,2,,2,Borivali West,2,0,2,110
,180,,6,1,2,Borivali West,1,0,1,15
600,,,4,1,1,Borivali West,1,0,1,95
870,,600,11,1,2,Borivali West,2,0,2,185
1240,,800,19,3,1,Borivali West,3,0,3,235
1050,800,655,3,3,,Borivali West,2,2,2,160
1265,1112,767,13,1,1,Borivali West,3,0,3,199
750,680,490,1,1,,Borivali West,1,1,1,100
,,425,4,1,,Borivali West,1,0,1,115
600,,425,7,1,2,Borivali West,1,0,1,88
1204,,830,9,1,2,Borivali West,2,0,2,181
,,400,6,1,1,Borivali West,1,1,2,97
1000,,741,2,1,1,Borivali West,2,0,1,115
1060,,635,4,1,,Borivali West,2,0,2,140
590,,400,3,1,1,Borivali West,1,0,1,89
560,,,5,,0,Borivali West,1,0,2,80
570,410,330,3,1,,Borivali West,1,0,1,70
900,,655,5,1,,Borivali West,2,0,2,156
,,700,7,1,1,Borivali West,2,0,2,200
,,460,1,1,,Borivali West,1,2,1,105
1160,,720,1,1,2,Borivali West,2,2,2,160
,,290,1,,,Borivali West,1,0,1,74
,,800,2,1,,Borivali West,2,1,2,90
,,300,3,,,Borivali West,1,0,2,65
,,450,5,1,,Borivali West,1,0,2,120
,,800,1,1,0,Borivali West,1,1,1,200
,,280,,,,Borivali West,1,1,1,50
540,340,290,1,1,,Borivali West,1,0,1,70
,,540,9,1,2,Borivali West,2,0,2,125
1660,980,977,7,1,1,Borivali West,3,1,3,295
,450,,2,20,,Borivali West,1,0,2,78
450,400,325,2,,0,Borivali West,1,0,2,60
,800,650,4,1,2,Borivali West,2,0,2,150
,,290,1,1,,Borivali West,1,0,1,75
,550,305,13,1,,Borivali West,1,0,1,50
1050,,,5,1,1,Borivali West,2,0,2,200
,800,510,1,1,0,Borivali West,2,0,2,130
1000,,680,5,1,,Borivali West,2,0,2,155
,825,702,6,1,0,Borivali West,2,2,2,170
780,,560,6,1,0,Borivali West,2,0,2,145
,,600,5,1,2,Borivali West,2,0,2,140
725,700,620,3,1,1,Borivali West,2,0,2,180
1050,750,,4,,0,Borivali West,2,2,1,140
,568,515,1,1,0,Borivali West,2,0,2,120
1500,,950,9,1,2,Borivali West,3,3,3,280
,336,280,3,,,Borivali West,1,0,1,63
600,500,410,2,1,1,Borivali West,1,0,2,84
,650,,7,1,,Borivali West,2,3,2,195
,1050,,1,,,Borivali West,2,0,2,180
,855,685,5,1,0,Borivali West,2,0,2,120
,,425,1,1,,Borivali West,1,0,2,90
600,,431,2,1,,Borivali West,1,0,2,82.5
700,,,1,1,,Borivali West,1,0,2,91
,105,,1,1,2,Borivali West,3,1,2,255
,,715,5,1,,Borivali West,2,2,2,155
,,750,6,1,,Borivali West,3,1,2,250
1000,,571,6,1,2,Borivali West,2,0,2,145
,,685,6,1,,Borivali West,2,0,2,150
,,275,3,1,,Borivali West,1,0,1,53
,,320,5,1,2,Borivali West,1,0,1,75
750,,480,6,1,,Borivali West,2,0,2,125
600,510,300,2,1,,Borivali West,1,0,1,68
,525,,5,,,Borivali West,1,0,1,85
400,,297,1,,,Borivali West,1,0,1,60
1006,850,630,3,1,,Borivali West,2,2,2,165
,,650,2,1,1,Borivali West,2,3,2,170
,,460,1,1,,Borivali West,1,1,1,95
950,,,5,1,0,Borivali West,2,0,2,165
,570,460,11,1,0,Borivali West,1,1,2,117
620,,420,4,1,,Borivali West,1,2,2,98
1665,,1120,1,1,,Borivali West,3,3,3,275
925,872,615,2,,,Borivali West,2,0,2,150
,950,660,7,1,2,Borivali West,2,0,2,140
,,745,15,1,,Borivali West,3,1,2,189
900,,650,7,1,,Borivali West,2,0,2,160
400,,,1,1,2,Borivali West,1,0,1,57
2947,2143,1786,18,1,2,Borivali West,3,2,3,486
550,,415,,1,,Borivali West,1,0,1,85
510,480,385,3,1,,Borivali West,1,1,1,90
,,250,1,,,Borivali West,1,0,2,49
2200,,1408,15,2,,Borivali West,4,3,4,420
1310,,875,2,1,1,Borivali West,2,3,2,240
,40,,3,1,,Borivali West,2,1,2,75
600,,,4,1,,Borivali West,1,0,2,70
,,605,6,1,,Borivali West,2,0,2,175
,,770,7,1,,Borivali West,2,0,2,210
,,770,4,1,,Borivali West,2,0,2,210
,,890,15,1,,Borivali West,3,0,3,240
,,900,4,1,,Borivali West,3,0,3,207
,,610,2,1,0,Borivali West,2,0,2,200
,,636,11,1,,Borivali West,2,0,2,180
,,636,13,1,,Borivali West,3,0,2,180
,,660,6,1,,Borivali West,2,0,2,149
,,1500,16,1,,Borivali West,4,0,4,338
,,646,8,1,,Borivali West,2,0,2,145
,,690,10,1,,Borivali West,2,0,2,155
,,725,12,1,,Borivali West,2,0,2,163
1035,,,15,1,,Borivali West,3,3,3,271
605,,,15,1,1,Borivali West,2,2,2,153
,,850,7,1,,Borivali West,3,0,3,230
,,696,14,1,,Borivali West,2,0,2,188
,,775,6,1,,Borivali West,3,0,2,209
,,811,13,1,,Borivali West,3,0,3,219
,,850,10,1,,Borivali West,3,0,3,230
,,660,6,1,,Borivali West,2,0,2,158
,,620,5,1,,Borivali West,2,0,2,167
,,408,1,1,,Borivali West,1,0,2,97.92
,,696,12,1,,Borivali West,2,0,2,188
,,645,7,1,,Borivali West,2,0,2,148
,,1090,15,1,,Borivali West,3,0,3,245
,,600,8,1,,Borivali West,2,0,2,147
,,688,21,1,2,Borivali West,2,0,2,206
,,705,9,1,,Borivali West,2,0,2,173
,,621,21,1,2,Borivali West,2,0,2,186
,,596,7,1,2,Borivali West,2,0,2,155
1068,,965,13,1,2,Borivali West,3,3,3,222
1100,,770,11,1,2,Borivali West,2,2,2,160
1035,,,10,1,1,Borivali West,3,3,3,220
700,,,10,1,1,Borivali West,2,2,2,153
,5150,3300,21,2,2,Borivali West,5,3,5,1200
1068,,965,11,1,2,Borivali West,3,3,3,230
672,,480,6,1,,Borivali West,1,2,2,105
,,615,7,1,2,Borivali West,2,1,2,153
,,965,4,1,2,Borivali West,3,2,3,230
,,965,7,1,,Borivali West,3,0,3,222
,,690,9,2,,Borivali West,2,0,2,210
,,425,6,1,,Borivali West,1,0,1,104
,,720,11,1,,Borivali West,2,0,2,190
1068,,747,12,1,2,Borivali West,3,3,3,230
,550,450,2,1,2,Borivali West,1,0,2,121
,,575,18,1,2,Borivali West,2,1,2,160
,,575,6,1,2,Borivali West,2,0,2,155
1100,,,17,1,1,Borivali West,2,2,2,205
,,630,13,1,,Borivali West,2,2,2,148
1755,,,10,2,,Borivali West,3,3,3,495
1250,840,750,5,2,,Borivali West,3,0,3,200
,,580,4,1,,Borivali West,2,0,2,165
,,2347,12,3,2,Borivali West,4,1,5,592
,,1786,10,2,2,Borivali West,3,1,4,480
900,,600,3,1,1,Borivali West,2,3,2,150
,,440,4,1,1,Borivali West,1,0,1,125
,,600,8,1,,Borivali West,2,0,2,180
,,700,6,1,0,Borivali West,2,1,2,250
1240,,740,19,3,1,Borivali West,3,1,2,250
,,1200,7,2,,Borivali West,3,1,3,280
,,650,1,1,2,Borivali West,2,0,2,165
,,595,8,1,,Borivali West,2,1,2,142
650,610,450,6,1,1,Borivali West,1,0,2,85
500,,,3,1,1,Borivali West,1,0,1,72
,,700,11,1,,Borivali West,2,1,2,165
,850,686,13,1,,Borivali West,2,0,2,180
1100,,750,15,1,2,Borivali West,2,1,2,250
2697,2200,1690,16,2,2,Borivali West,3,3,5,585
1098,1090,645,10,1,,Borivali West,2,0,2,146
2196,2100,1295,10,1,2,Borivali West,4,0,4,291
1815,1800,1069,10,1,1,Borivali West,3,0,3,276
1100,,720,10,1,,Borivali West,2,0,2,235
830,,500,7,,,Borivali West,2,0,2,115
,,600,15,1,2,Borivali West,2,0,2,174
1100,,697,11,1,2,Borivali West,2,0,2,155
1240,,776,19,1,0,Borivali West,3,0,2,230
2295,,1490,9,2,2,Borivali West,3,0,3,500
,1800,,1,2,1,Borivali West,2,1,2,115
,1000,800,2,,,Borivali West,1,1,1,90
,,600,1,1,,Borivali West,2,0,2,138
535,,360,3,1,1,Borivali West,1,0,2,78
1660,,1037,7,1,2,Borivali West,3,3,3,210
,,370,1,,,Borivali West,1,0,1,97
,629,,7,1,,Borivali West,1,0,1,110
900,,560,2,1,2,Borivali West,2,0,2,110
550,440,,,,,Borivali West,1,0,1,80
,300,,,1,1,Borivali West,1,0,1,78
600,500,400,2,,,Borivali West,1,0,1,94
,500,,1,,,Borivali West,1,0,1,111
640,,534,4,,,Borivali West,1,1,1,110
,1200,,1,1,,Borivali West,2,,2,230
,450,,,,,Borivali West,0,1,1,70
,325,260,2,,0,Borivali West,0,1,1,85
550,,,5,,,Borivali West,0,1,1,75
